////////////////////////////////////////
///////////             ////////////////
///////////  Monsters   ////////////////
///////////             ////////////////
////////////////////////////////////////

//Aracnorb
aracnorb/sight		dsaracst
neodarkimp/shotx			dsimpxpl
neodarkimp/teleport                     dsimptel

//PYRODEMON
pyro/see BE-SEE
pyro/idle BE-IDLE
pyro/tele BE-TELE
pyro/pain DE_PAIN_
pyro/death BE-DEATH
pyro/blast DP_ATTAC

pyro/flame DSFLAMER
pyro/explosion DSPIPEX1
pyro/flamepoof DSHITW
pyro/blastexplosion DSFRBXPL
pyro/comet DSCMTLNC
pyro/cometdeath DSCMTEXP
pyro/bomb DSRDSHOT
pyro/bombhit DSRDHIT

//BRUISERDEMON
superbaron/scream dssbsit
superbaron/pain dssbpain
superbaron/death dssbdth
superbaron/act dssbact

//INFERNODEMON
Inferno/Alert	INFRALRT
Inferno/Walk	INFRWALK
Inferno/Die		INFRDEAD
Inferno/Active	INFRACTV
Apocalypse/Meteor COMETLNC
Apocalypse/Death COMETEXP
Meteor/Call DFATTACK
weapons/firmfi dsfirmfi
weapons/firex3 dsfirex3
weapons/firbfi dsfirbfi
weapons/hellex dshellex
weapons/justfi dsjustfi
monster/bomb FIREBALL
monster/firebeamdeath IMPFIRE2
monster/firebeamstart DARKFLAM
pyro/explosion DSPIPEX1
Glyph/Start FLAMESTR
harvester/ghost shghscrm

Infdem/see BE-SPOT1
Infdem/active BE-GROWL
Infdem/pain BE-PAIN1
Infdem/death DYING

KoraxStep               step//this is present in Hexen, but needs to be defined for Doom or Heretic

//IMP CRATATA
Crate01                    WDCRSH03
Crate02                    WDCRSH04
$RANDOM DoomImp/Crate { Crate01 Crate02 }

//INVUX16
$pitchshiftrange 4
alienspectre/sight	dsalnsee
alienspectre/blade	dsrevbld
alienspectre/pain	dsalnpn
alienspectre/death	dsalndth
alienspectre/active	dsalnact
//STOLEN FROM ZDWARS EXCEPT YOU DONT KNOW IF THATS TRUE
$limit alienspectre/sight 0
$limit alienspectre/blade 0
$limit alienspectre/pain 0
$limit alienspectre/death 0
$limit alienspectre/active 0

//INVUX15
$random deepone/pain { deepone/hurt1 deepone/hurt2 deepone/hurt3 deepone/hurt4 }
deepone/hurt1 	DEEPPN1
deepone/hurt2 	DEEPPN2
deepone/hurt3  	DEEPPN3
deepone/hurt4 	DEEPPN4
$random deepone/active { deepone/groan1 deepone/groan2 }
deepone/groan1 	DEEPGN1
deepone/groan2 	DEEPGN2
$random deepone/meleegrowl { deepone/attack1 deepone/attack2 }
deepone/melee		DSCLAW
deepone/attack1 	DEEPAK1
deepone/attack2 	DEEPAK2
deepone/sight 		DEEPSEE
deepone/stealth		DEEPSTTH
deepone/death 	DEEPDTH
deepone/fire 	DEEPFIRE
deepone/firehit 	DEEPFHIT

//SHADOW
$random Shadow/active { act1 act2 }
act1			SHDACT1
act2			SHDACT2
$random Shadow/pain { pain1 pain2 }
pain1			SHDPAIN1
pain2			SHDPAIN2
Shadow/attack		SHDATTAK
Shadow/death		SHDDEATH

// Cyber Baron
cbaron/sight	cbarnsit
cbaron/pain	cbarnpai
cbaron/death	cbarndth
cbaron/active	cbarnact
cbaron/metal	cmetal

//INVUX20 shite
monster/dknhit dsdknhit
monster/dknsit dsdknsit
monster/dknpai dsdknpai
monster/dkndth dsdkndth
monster/dknact dsdknact
monster/dknswg dsdknswg

monster/dkndrt dsdkndrt
weapons/firex2 dsfirex2
monster/dknmsl dsdknmsl
weapons/boom1 dsboom1
weapons/boltfi dsboltfi
weapons/firex4 dsfirex4
weapons/scorch dsscorch

weapons/devexp                dsdevexp
weapons/devzap                dsdevzap
monster/ovlsit                  dsovlsit
monster/ovlact                  dsovlact
monster/ovlpai                  dsovlpai
monster/ovldth                  dsovldth
caco/melee                    dsdembit
weapons/gntidl                dsgntidl
weapons/chaofi                dschaofi
weapons/shock                 dsshock

/*\/\/\/\/Thor Sounds\/\/\/\/*/


$random thor/pain	{ thor/pain1 thor/pain2 thor/pain3 thor/pain5 }
thor/pain1 THRPAIN1
thor/pain2 THRPAIN2
thor/pain3 THRPAIN3
thor/pain5 THRPAIN5

$random thor/active	{ thor/fear1 thor/fear1 thor/fear2 thor/fear2 thor/fear3 thor/fear3 thor/fear4 thor/fear4 thor/sight1 thor/sight2 thor/sight3 }
thor/fear1 FEAR1
thor/fear2 FEAR2
thor/fear3 FEAR3
thor/fear4 FEAR4


$random thor/attack { thor/laugh1 thor/laugh2 thor/laugh3 thor/anger1 thor/anger2 }//sometimes plays before attack
thor/laugh1 LAUGH1
thor/laugh2 LAUGH2
thor/laugh3 LAUGH3
thor/anger1 ANGER1
thor/anger2 ANGER2

$random thor/sight	{ thor/sight1 thor/sight2 thor/sight3 }
thor/sight1 SPOT1 
thor/sight2 SPOT2 
thor/sight3 SPOT3 

thor/death SORDSPH

thor/attackr1 HEALING
thor/attackr2 FIREBALL
thor/attackr3 DISTFIRE
thor/attackr4 BUILD
thor/thunder DSTHLTNG
thor/smoke SORSMOKE
thor/activel SORACTL
thor/hitl SORHITL
thor/spawnl SORSPWNL

/*\/\/\/\/End Thor Sounds\/\/\/\/*/

archer/sight					archidle
archer/draw						archdraw
archer/attack					archsht1
$random archer/attackboss		{ archer/attack1 archer/attack2 }
archer/attack1					archsht2
archer/attack2					archsht3
$random archer/pain				{ archer/pain1 archer/pain2 }
archer/pain1					archpain
archer/pain2					archpai2
$random archer/death			{ archer/death1 archer/death2 }
archer/death1					archdeth
archer/death2					archdth2
archer/gib						SLOPPY2
archer/growl					archidle
archer/hit						arr2flsh

monster/cubsit dscubsit
weapons/bounc1 dsbounc1
monster/cubfly dscubfly
monster/cubdth dscubdth
weapons/firsfi dsfirsfi
weapons/maceex dsmaceex

monster/falsit dsfalsit
monster/falpai dsfalpai
monster/faldth dsfaldth
monster/falact dsfalact
monster/falwng dsfalwng
weapons/firmfi dsfirmfi
weapons/firex5 dsfirex5

diablo2/goatman/attack		011att
diablo2/goatman/death		011deth
diablo2/goatman/sight		011sit
$random diablo2/goatman/idle	{ diablo2/goatman/idle1 diablo2/goatman/idle2 diablo2/goatman/idle3 }
$random diablo2/goatman/pain	{ diablo2/goatman/pain1 diablo2/goatman/pain2 }

diablo2/goatman/idle1		011idle1
diablo2/goatman/idle2		011idle2
diablo2/goatman/idle3		011idle3
diablo2/goatman/pain1		011pain1
diablo2/goatman/pain2		011pain2

Goat/Attack				goata2
Goat/death				goatbd2
Goat/Pain				goath2
Goat/Madattack			goats2

missile1charge	h20017
missile2charge	h20016

waitingballsspawn	purfire
whiteballssee		acidfire
whiteballsdeth		acidhit
redballssee		purfire3
redballsdeth		r_exp3

redballbsee		mmfire
redballbdeth	explode
whiteballbsee	scream
whiteballbdeth	scream2

groundfirestart  flamstrt

agatho/stealth		agatstlh

//INVUX29
himp/sight			impsit
himp/attack			impat1
himp/pain			imppai
himp/death			impdth
himp/active			impsit
himp/leaderattack		impat2

minotaur/sight			minsit
minotaur/melee			stfhit
minotaur/attack1		minat1
minotaur/attack2		minat2
minotaur/attack3		minat3
minotaur/pain			minpai
minotaur/death			mindth
minotaur/active			minact
minotaur/fx2hit			phohit
minotaur/fx3hit			phohit

wizard/sight			wizsit
wizard/attack			wizatk
wizard/death			wizdth
wizard/pain			wizpai
wizard/active1			wizact
$random wizard/active 	{ wizard/sight wizard/active1 }

mummy/sight			mumsit
mummy/attack1			mumat1
mummy/attack2			mumat2
mummy/pain			mumpai
mummy/death			mumdth
mummy/active			mumsit
mummy/head			mumhed

beast/sight			bstsit
beast/attack			bstatk
beast/pain			bstpai
beast/death			bstdth
beast/active			bstact

snake/attack			snkatk
snake/sight			snksit
snake/pain			snkpai
snake/death			snkdth
snake/active			snkact

clink/sight			clksit
clink/attack			clkatk
clink/pain			clkpai
clink/death			clkdth
clink/active			clkact

hknight/sight			kgtsit
hknight/attack			kgtatk
hknight/melee			kgtat2
hknight/pain			kgtpai
hknight/death			kgtdth
hknight/active			kgtsit
hknight/hit			hrnhit
hknight/axewhoosh		kgtatk

ironlich/sight			hedsit
ironlich/attack1		hedat1
ironlich/attack2		hedat2
ironlich/attack3		hedat3
ironlich/pain			hedpai
ironlich/death			heddth
ironlich/active			hedact

dsparilserpent/sight		bstsit
dsparilserpent/attack		bstatk
dsparilserpent/pain		sbtpai
dsparilserpent/death		sbtdth
dsparilserpent/active		sbtact

dsparil/sight			sorsit
dsparil/attack			soratk
dsparil/pain			sorpai
dsparil/active			soract
dsparil/rise			sorrise
dsparil/zap			sorzap
dsparil/scream			sordsph
dsparil/explode			sordexp
dsparil/bones			sordbon

; Bishop

BishopSight             syab2d
BishopActive            stb1d
BishopPain              bshpn1
BishopAttack            pop
BishopDeath             bishdth1
BishopMissileExplode    bshhit2
BishopBlur              blur6

; Centaur

CentaurSight            taur1
CentaurActive           taur2
CentaurPain             taur4
CentaurAttack           centhit2
CentaurDeath            cntdth1
CentaurLeaderAttack     cntshld4
CentaurMissileExplode   impact3

; Serpent

SerpentSight            wtrcrt7
SerpentActive           srfc3
SerpentPain             serppn1
SerpentAttack           wtrswip
SerpentMeleeHit         wtrhit
SerpentDeath            srpdth1
SerpentBirth            srfc1
SerpentFXContinuous     glbhiss1
SerpentFXHit            glbhit4

; Demon

DemonSight              sbtsit5
DemonActive             sbtsit5
DemonPain               minact1
DemonAttack             dematk2
DemonDeath              sbtdth3
DemonMissileFire        impfire2
DemonMissileExplode     impact3

; Wraith

WraithSight             raith5a
WraithActive            raith3
WraithPain              raith4a
WraithAttack            raith1b
WraithDeath             rathdth2
WraithMissileFire       impfire2
WraithMissileExplode    impact3

; Maulator
MaulatorSight           minsit1
MaulatorActive          minact2
MaulatorPain            minpain4
MaulatorHamSwing        hamblo8a
MaulatorHamHit          hamfir1
MaulatorMissileHit      impact3
MaulatorDeath           mindth4

; Ettin
EttinSight              cent2
EttinActive             cent2
EttinPain               cent1
EttinAttack             ethit1
EttinDeath              cntdth1

; Fire Demon
FireDemonSpawn          spawn3
FireDemonActive         fired5
FireDemonPain           fired2
FireDemonAttack         spit6
FireDemonMissileHit     firedhit
FireDemonDeath          fired3

; Ice Guy
IceGuySight             frosty1
IceGuyActive            frosty1
IceGuyAttack            frosty2
IceGuyMissileExplode    shards1b

; Sorcerer Boss
SorcererSight           sorboss1
SorcererActive          sorboss2
SorcererPain            sorboss3
SorcererSpellCast       woosh3
SorcererBallWoosh       balls1
SorcererDeathScream     sordie2
SorcererBishopSpawn     bishapp
SorcererBallPop         cork
SorcererBallBounce      bounce2
SorcererBallExplode     impact3
SorcererBigBallExplode  sorblexp
SorcererHeadScream      sorblexp

; Dragon
DragonSight             dragsit1
DragonActive            dragsit1
DragonWingflap          wing1
DragonAttack            mage4
DragonPain              dragpn2
DragonDeath             dragdie2
DragonFireballExplode   mageball

; Korax
KoraxSight              korsit
KoraxActive             koract
KoraxPain               korpn1
KoraxAttack             koratk
KoraxCommand            korcom
KoraxDeath              kordth1
KoraxStep               step

monster/avasit dsavasit
monster/avapai dsavapai
monster/avadth dsavadth
monster/avaact dsavaact
monster/avaatk dsavaatk
MageLightningFire dslight
weapons/justfi dsjustfi
weapons/gntini dsgntini
weapons/devexp dsdevexp
weapons/bwoosh dsbwoosh
weapons/firex2 dsfirex2
weapons/devzap dsdevzap
weapons/gnthit dsgnthit
monster/hadsit dshadsit
monster/bomb FIREBALL
monster/explode DSCMTEXP

Evilcore/Sight		DIA2SIG3
Evilcore/Death		DIA2DETH
Evilcore/EnergyShot	DSGIGFIR
Evilcore/Shothit	DSABBHIT
Evilcore/Shotzap	DSABBZAP

catharsi/shotsit 	DSSLSHOT
catharsi/shotdth 	DSSLSHDT

////////////////////////
// Terminator sounds  //
////////////////////////

monster/termsit tsight
monster/termpin tpain1
monster/termdth tdeath
monster/brufir dsbrufir
weapons/hellex dshellex

$random Terminator/termact { termact1 termact2 }
termact1		dsteract
termact2		dsteact2
$random Terminator/terstepA { terstep1 terstep2 }
terstep1		 dststep1
terstep2		 dststep2
Terminator/terstepB dststep3
Terminator/tershotA dstshot1
Terminator/tershotB dstshot2



////////////////////////////////////////
///////////             ////////////////
///////////   Weapons   ////////////////
///////////             ////////////////
////////////////////////////////////////

// Automatic Shotgun
weapons/asgfir dsasgfir
weapons/asgout dsasgout
weapons/asgin dsasgin
weapons/asgld1 dsasgld1

////////////////////////////////////////
///////////             ////////////////
///////////   Effects   ////////////////
///////////             ////////////////
////////////////////////////////////////

ddoor	ddoor
$random thunder/hit { thunder/hit1 thunder/hit2 }
thunder/hit1 THNDS01
thunder/hit2 THNDS02
Steam/Loop	STEMLOOP
Steam/Fire	STEMFIRE
SFX/FireStart	FIRESTRT
SFX/FireLoop1	FIRELOP1
SFX/FireLoop2	FIRELOP2
SFX/FireLoop3	FIRELOP3
SFX/FireDie	FIREDIE

$Limit SFX/FireStart	0
$Limit SFX/FireLoop	0
$Limit SFX/FireDie	0

$pitchshiftrange 5
// Gibbing
$random gibbage/xsplat			{gibbage/splat1 gibbage/splat2 gibbage/splat3 gibbage/splat4}
gibbage/splat1				splat1
gibbage/splat2				splat2
gibbage/splat3				splat3
gibbage/splat4				splat4

$limit gibbage/xsplat 0

weapons/zapx				DSSPARK5

$random gibbage/bonethud		{gibbage/bonethud1 gibbage/bonethud2}
gibbage/bonethud1				bonedie1
gibbage/bonethud2				bonedie2

$random gibbage/blood		{gibbage/blood1 gibbage/blood2 gibbage/blood3 gibbage/blood4}
gibbage/blood1				blood1
gibbage/blood2				blood2
gibbage/blood3				blood3
gibbage/blood4				blood4

$limit gibbage/blood 0

$random gibbage/xgib			{gibbage/gib1 gibbage/gib2 gibbage/gib3}
gibbage/gib1				gib1
gibbage/gib2				gib2
gibbage/gib3				gib3

$limit gibbage/xgib 0

$random gibbage/xgibst			{gibbage/git1 gibbage/git2 gibbage/git3}
gibbage/git1				git1
gibbage/git2				git2
gibbage/git3				git3

$limit gibbage/xgibst 0

//======================
//    Special Effects
//======================


// RainSpawner
Ambient/Rain        AMBRAIN
$volume Ambient/Rain 0.4


// --


// Breakable Glass
GLASS   DSGLASS     // Glass destroyed <Flying monsters creep into room with large dead Cyberdemon>
$limit  GLASS       4


// --


GLASS1  DSGLASS1    // Glass Destroyed <Mid-Tier portal room>
$limit  GLASS1      4


// --


GLASS2  DSGLASS2    // Glass Destroyed <Small room with Plasma Rifle and Tiger signature>
$limit  GLASS2      4


// --


GLASS3  DSGLASS3    // Glass Destroyed <Small room with next to high-tier portal>
$limit  GLASS3      4


// --


// Rain
$ambient 1 Ambient/Rain point 1.0 continuous 0.5


// --


World/ElectricBuzzing   ElecBuz
$AMBIENT 2 World/ElectricBuzzing POINT CONTINUOUS 1.0


// --


World/ElectricBuzzing1  ElecBuz1
$AMBIENT 3 World/ElectricBuzzing1 POINT CONTINUOUS 1.0


// --


World/OceanWaves        OceanWav
$AMBIENT 4 World/OceanWaves POINT CONTINUOUS 1.0


// --


// Wind Whistling
World/WindWhistle   wndwist
$AMBIENT 5 World/WindWhistle POINT RANDOM 25.0 60.0 0.8


// --
World/GentleBreeze      wndgntl
$AMBIENT 6 World/GentleBreeze POINT CONTINUOUS 1.0


// --


World/WindyBreeze       wndbrez
$AMBIENT 7 World/WindyBreeze POINT CONTINUOUS 0.9

// --


World/WindyBreeze1      wndbrez1
$AMBIENT 8 World/WindyBreeze1 POINT CONTINUOUS 0.9


// --


// Reversed Whispering
World/Whispers   whisper
$AMBIENT 11 World/Whispers POINT RANDOM 25.0 60.0 0.6


// --


// TGRDM3's Teleport Humming
World/TeleportGate   TeleHum
$AMBIENT 9 World/TeleportGate POINT CONTINUOUS 0.5

World/TeleportGate2   TeleHum2 // Demonic
$AMBIENT 10 World/TeleportGate2 POINT CONTINUOUS 0.5

//======================
//        Music
//======================
// For more Shane Strife's music, go here: http://forum.zdoom.org/viewtopic.php?p=472461#p472461



// The map scripts will use these aliases, if needing to trade or change the music track to another
//  file, it can be done in this file without needing to manually change the map's ACS script.
$musicalias SM_MUS1 S_E2M7
$musicalias SM_MUS2 S_E2M6
$musicalias SM_MUS3 S_SHAWN
$musicalias SM_MUS4 S_E3M8

// Intermission
$musicalias SM_Inter S_DM2INT
